id;song_id;lyrics;lang;author;copyright;is_translated;translated_by;charset;last_modified
1;14518;../fake-data/blob/hipster.txt;Soap hardware;generating Directives Shoes;contextually-based;true;Hollow;Avon overriding Tasty;2020-07-13T23:32:14
2;15225;../fake-data/blob/hipster.txt;intuitive;Metal;yellow Interactions;true;Fantastic Plastic Pizza;Bouvet Island (Bouvetoya) Handmade Granite Pizza;2020-07-14T08:31:22
3;25575;../fake-data/blob/hipster.txt;Plain asynchronous;Wooden Auto Loan Account;Australian Dollar robust Refined Steel Keyboard;true;Sleek;Points;2020-07-14T16:29:56
4;36233;../fake-data/blob/hipster.txt;Incredible Soft Pants;Lithuanian Litas;De-engineered leading-edge;false;Factors benchmark;Computers circuit;2020-07-13T23:22:35
5;96325;../fake-data/blob/hipster.txt;Nepal Bedfordshire;green;turn-key RAM;false;circuit;program;2020-07-14T01:11:12
6;95479;../fake-data/blob/hipster.txt;Practical;bypass;collaboration;false;Soft core;payment system;2020-07-14T04:13:58
7;29055;../fake-data/blob/hipster.txt;IB 1080p portals;Gloves Games auxiliary;plug-and-play index;false;optical;cross-platform grey;2020-07-13T23:34:43
8;99862;../fake-data/blob/hipster.txt;national THX;Future-proofed Accountability;Gibraltar compress Future;true;Cambridgeshire Licensed Plastic Hat;Licensed orchestration Engineer;2020-07-14T14:43:54
9;33375;../fake-data/blob/hipster.txt;redundant;New Hampshire;monitor archive;true;Yen;Cambridgeshire Extended Steel;2020-07-14T11:48:49
10;91311;../fake-data/blob/hipster.txt;Checking Account 3rd generation;Key Ergonomic Fresh Pants Plastic;Small haptic;true;Bacon Rustic Beauty;connecting directional;2020-07-14T00:51:52
